Model,Manufacturing_year,Transmission,Sunroof,ABS,Digital_Conditioning,Steering_Control,Airbags,Chrome_Wheel,Technical_Status,Distance(KM),Price
Kia_Rio,2011,Auto,No,Yes,No,No,No,No,Good,90000,6500000
Kia_Rio,2011,Auto,No,No,No,No,Yes,No,Good,93000,6300000
Kia_Rio,2011,Auto,No,No,No,Yes,No,No,Good,83000,6300000
Kia_Rio,2011,Auto,No,Yes,Yes,Yes,Yes,Yes,Good,30000,7200000
Kia_Rio,2011,Auto,Yes,No,Yes,Yes,Yes,Yes,Good,30000,7200000
Kia_Rio,2011,Auto,Yes,Yes,No,Yes,Yes,Yes,Good,30000,7200000
Kia_Rio,2011,Auto,Yes,Yes,Yes,No,Yes,Yes,Good,30000,7400000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,No,Yes,Good,30000,7400000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,No,Good,30000,7300000
Kia_Rio,2011,Auto,No,Yes,Yes,Yes,Yes,Yes,Good,104000,7000000
Kia_Rio,2011,Auto,Yes,No,Yes,Yes,Yes,Yes,Good,110000,7000000
Kia_Rio,2011,Auto,Yes,Yes,No,Yes,Yes,Yes,Good,120000,7000000
Kia_Rio,2011,Auto,Yes,Yes,Yes,No,Yes,Yes,Good,130000,7200000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,No,Yes,Good,140000,7200000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,No,Good,145000,7100000
Kia_Rio,2011,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,30000,6800000
Kia_Rio,2011,Manual,No,Yes,Yes,Yes,Yes,Yes,Good,30000,6500000
Kia_Rio,2011,Manual,Yes,No,Yes,Yes,Yes,Yes,Good,30000,6500000
Kia_Rio,2011,Manual,Yes,Yes,No,Yes,Yes,Yes,Good,30000,6500000
Kia_Rio,2011,Manual,Yes,Yes,Yes,No,Yes,Yes,Good,30000,6700000
Kia_Rio,2011,Manual,Yes,Yes,Yes,Yes,No,Yes,Good,30000,6700000
Kia_Rio,2011,Manual,Yes,Yes,Yes,Yes,Yes,No,Good,30000,6600000
Kia_Rio,2011,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,130000,6600000
Kia_Rio,2011,Manual,No,Yes,Yes,Yes,Yes,Yes,Good,109000,6300000
Kia_Rio,2011,Manual,Yes,No,Yes,Yes,Yes,Yes,Good,148000,6300000
Kia_Rio,2011,Manual,Yes,Yes,No,Yes,Yes,Yes,Good,111000,6300000
Kia_Rio,2011,Manual,Yes,Yes,Yes,No,Yes,Yes,Good,133000,6500000
Kia_Rio,2011,Manual,Yes,Yes,Yes,Yes,No,Yes,Good,127000,6500000
Kia_Rio,2011,Manual,Yes,Yes,Yes,Yes,Yes,No,Good,114000,6400000
Kia_Rio,2011,Manual,No,No,No,No,No,Yes,Good,30000,5700000
Kia_Rio,2011,Auto,No,Yes,Yes,No,No,No,Good,30000,6800000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,No,Yes,Good,30000,7400000
Kia_Rio,2011,Auto,Yes,Yes,Yes,No,No,Yes,Good,30000,7300000
Kia_Rio,2011,Auto,Yes,No,Yes,No,Yes,Yes,Good,135000,6900000
Kia_Rio,2011,Auto,Yes,Yes,Yes,No,No,Yes,Good,120000,7100000
Kia_Rio,2011,Auto,Yes,Yes,No,No,No,Yes,Good,140000,6800000
Kia_Rio,2011,Auto,No,Yes,No,No,No,Yes,Good,116000,6200000
Kia_Rio,2011,Manual,No,No,No,No,No,No,Good,107000,5300000
Kia_Rio,2011,Manual,No,No,Yes,No,No,No,Good,126000,5600000
Kia_Rio,2011,Manual,No,No,No,No,No,Yes,Good,145000,5500000
Kia_Rio,2011,Manual,Yes,No,Yes,No,No,No,Good,132000,5900000
Kia_Rio,2011,Manual,Yes,No,No,No,Yes,No,Good,139000,5700000
Kia_Rio,2011,Auto,No,Yes,Yes,No,No,Yes,Normal,140000,6300000
Kia_Rio,2011,Auto,Yes,No,No,No,No,Yes,Good,167000,6300000
Kia_Rio,2011,Auto,No,Yes,Yes,No,Yes,No,Good,136000,6700000
Kia_Rio,2011,Auto,Yes,Yes,Yes,No,No,Yes,Good,110000,7100000
Kia_Rio,2011,Auto,No,Yes,No,Yes,No,Yes,Good,177000,6400000
Kia_Rio,2011,Auto,No,No,No,No,Yes,No,Bad,119000,5300000
Kia_Rio,2011,Auto,No,No,No,No,No,Yes,Bad,180000,5000000
Kia_Rio,2011,Auto,No,No,No,No,Yes,No,Normal,119000,5800000
Kia_Rio,2011,Auto,No,Yes,Yes,Yes,No,No,Good,104000,6700000
Kia_Rio,2011,Auto,No,No,Yes,Yes,No,Yes,Good,104000,6600000
Kia_Rio,2011,Auto,Yes,Yes,Yes,No,No,No,Good,104000,6900000
Kia_Rio,2011,Auto,No,No,Yes,Yes,Yes,No,Good,104000,6500000
Kia_Rio,2011,Auto,No,No,No,Yes,Yes,Yes,Good,104000,6400000
Kia_Rio,2011,Auto,No,Yes,Yes,Yes,No,No,Normal,104000,6200000
Kia_Rio,2011,Auto,No,No,Yes,Yes,No,Yes,Normal,114000,6100000
Kia_Rio,2011,Auto,Yes,Yes,Yes,No,No,No,Normal,120000,6400000
Kia_Rio,2011,Auto,No,No,Yes,Yes,Yes,No,Normal,133000,6000000
Kia_Rio,2011,Auto,No,No,No,Yes,Yes,Yes,Normal,138000,5900000
Kia_Rio,2011,Auto,Yes,No,Yes,No,Yes,Yes,Normal,135000,6400000
Kia_Rio,2011,Auto,Yes,Yes,Yes,No,No,Yes,Normal,120000,6600000
Kia_Rio,2011,Auto,Yes,Yes,No,No,No,Yes,Normal,140000,6300000
Kia_Rio,2011,Auto,No,Yes,No,No,No,Yes,Normal,116000,5700000
Kia_Rio,2011,Manual,No,No,No,No,No,No,Normal,107000,4800000
Kia_Rio,2011,Manual,No,No,Yes,No,No,No,Normal,126000,5100000
Kia_Rio,2011,Manual,No,No,No,No,No,Yes,Normal,145000,5000000
Kia_Rio,2011,Manual,Yes,No,Yes,No,No,No,Normal,132000,5400000
Kia_Rio,2011,Manual,Yes,No,No,No,Yes,No,Normal,139000,5200000
Kia_Rio,2011,Auto,No,Yes,Yes,No,Yes,Yes,Bad,170000,5700000
Kia_Rio,2011,Auto,No,Yes,Yes,Yes,No,Yes,Bad,157000,5700000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,50000,7400000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Good,50000,5400000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,50000,6700000
Kia_Rio,2010,Auto,No,No,No,No,No,No,Good,50000,6100000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,60000,7400000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Good,40000,5400000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,70000,6700000
Kia_Rio,2010,Auto,No,No,No,No,No,No,Good,80000,6100000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,106000,7200000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Normal,106000,6700000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Good,140000,5200000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Bad,140000,4200000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,129000,6500000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,169000,6300000
Kia_Rio,2010,Auto,No,No,No,No,No,No,Good,147000,5900000
Kia_Rio,2010,Auto,No,No,No,No,No,No,Good,155000,5700000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Good,38000,5400000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Good,103000,5200000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Good,158000,5000000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Bad,158000,4000000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Normal,103000,4700000
Kia_Rio,2010,Manual,Yes,No,No,No,No,No,Good,45000,5700000
Kia_Rio,2010,Manual,Yes,No,No,No,No,No,Good,130000,5500000
Kia_Rio,2010,Manual,Yes,No,No,No,No,No,Good,175000,5300000
Kia_Rio,2010,Manual,Yes,No,No,No,No,No,Normal,175000,4800000
Kia_Rio,2010,Manual,Yes,No,No,No,No,No,Bad,130000,4500000
Kia_Rio,2010,Manual,No,Yes,No,No,No,No,Good,33000,5700000
Kia_Rio,2010,Manual,No,Yes,No,No,No,No,Good,133000,5500000
Kia_Rio,2010,Manual,No,Yes,No,No,No,No,Good,157000,5300000
Kia_Rio,2010,Manual,No,Yes,No,No,No,No,Normal,133000,5000000
Kia_Rio,2010,Manual,No,Yes,No,No,No,No,Bad,157000,4300000
Kia_Rio,2010,Manual,No,No,Yes,No,No,No,Good,66000,5700000
Kia_Rio,2010,Manual,No,No,Yes,No,No,No,Good,82000,5700000
Kia_Rio,2010,Manual,No,No,Yes,No,No,No,Good,182000,5300000
Kia_Rio,2010,Manual,No,No,Yes,No,No,No,Normal,66000,5200000
Kia_Rio,2010,Manual,No,No,Yes,No,No,No,Normal,178000,4800000
Kia_Rio,2010,Manual,No,No,No,Yes,No,No,Good,80000,5500000
Kia_Rio,2010,Manual,No,No,No,Yes,No,No,Good,40000,5500000
Kia_Rio,2010,Manual,No,No,No,Yes,No,No,Normal,80000,5000000
Kia_Rio,2010,Manual,No,No,No,No,Yes,No,Good,35000,5500000
Kia_Rio,2010,Manual,No,No,No,No,Yes,No,Good,77000,5500000
Kia_Rio,2010,Manual,No,No,No,No,Yes,No,Normal,35000,5000000
Kia_Rio,2010,Manual,No,No,No,No,No,Yes,Good,42000,5600000
Kia_Rio,2010,Manual,No,No,No,No,No,Yes,Good,69000,5600000
Kia_Rio,2010,Manual,No,No,No,No,No,Yes,Good,55000,5600000
Kia_Rio,2010,Manual,No,No,No,No,No,Yes,Good,105000,5400000
Kia_Rio,2010,Manual,No,No,No,No,No,Yes,Normal,69000,5100000
Kia_Rio,2010,Auto,No,Yes,Yes,Yes,Yes,Yes,Good,60000,7100000
Kia_Rio,2010,Auto,Yes,No,Yes,Yes,Yes,Yes,Good,60000,7100000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,Yes,Yes,Good,60000,7100000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,Yes,Yes,Good,60000,7300000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,No,Yes,Good,60000,7300000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,No,Good,60000,7200000
Kia_Rio,2010,Auto,No,Yes,Yes,Yes,Yes,Yes,Normal,60000,6600000
Kia_Rio,2010,Auto,Yes,No,Yes,Yes,Yes,Yes,Normal,60000,6600000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,Yes,Yes,Normal,60000,6600000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,Yes,Yes,Normal,60000,6800000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,No,Yes,Normal,60000,6800000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,No,Normal,60000,6700000
Kia_Rio,2010,Manual,No,Yes,Yes,Yes,Yes,Yes,Normal,60000,5900000
Kia_Rio,2010,Manual,Yes,No,Yes,Yes,Yes,Yes,Normal,60000,5900000
Kia_Rio,2010,Manual,Yes,Yes,No,Yes,Yes,Yes,Normal,60000,5900000
Kia_Rio,2010,Manual,Yes,Yes,Yes,No,Yes,Yes,Normal,60000,6100000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,No,Yes,Normal,60000,6100000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,No,Normal,60000,6000000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,No,Yes,Normal,60000,6700000
Kia_Rio,2010,Auto,Yes,Yes,No,No,No,Yes,Normal,60000,6400000
Kia_Rio,2010,Auto,No,Yes,Yes,No,No,Yes,Normal,60000,6400000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,No,No,Normal,60000,6500000
Kia_Rio,2010,Auto,No,No,Yes,Yes,Yes,No,Normal,60000,6100000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,No,No,Normal,60000,6300000
Kia_Rio,2010,Auto,Yes,No,Yes,No,No,Yes,Normal,60000,6400000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Bad,50000,6400000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Bad,50000,4400000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Bad,50000,5700000
Kia_Rio,2010,Auto,No,No,No,No,No,No,Bad,50000,5100000
Kia_Rio,2010,Auto,No,Yes,Yes,Yes,Yes,Yes,Normal,80000,6600000
Kia_Rio,2010,Auto,Yes,No,Yes,Yes,Yes,Yes,Normal,80000,6600000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,Yes,Yes,Normal,80000,6600000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,Yes,Yes,Normal,80000,6800000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,No,Yes,Normal,80000,6800000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,No,Normal,80000,6700000
Kia_Rio,2010,Manual,No,Yes,Yes,Yes,Yes,Yes,Normal,90000,5900000
Kia_Rio,2010,Manual,Yes,No,Yes,Yes,Yes,Yes,Normal,90000,5900000
Kia_Rio,2010,Manual,Yes,Yes,No,Yes,Yes,Yes,Normal,90000,5900000
Kia_Rio,2010,Manual,Yes,Yes,Yes,No,Yes,Yes,Normal,90000,6100000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,No,Yes,Normal,90000,6100000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,No,Normal,90000,6000000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,No,Yes,Normal,70000,6700000
Kia_Rio,2010,Auto,Yes,Yes,No,No,No,Yes,Normal,70000,6400000
Kia_Rio,2010,Auto,No,Yes,Yes,No,No,Yes,Normal,70000,6400000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,No,No,Normal,70000,6500000
Kia_Rio,2010,Auto,No,No,Yes,Yes,Yes,No,Normal,70000,6100000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,No,No,Normal,70000,6300000
Kia_Rio,2010,Auto,Yes,No,Yes,No,No,Yes,Normal,70000,6400000
Kia_Rio,2010,Auto,No,Yes,Yes,Yes,Yes,Yes,Normal,120000,6400000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,Yes,Yes,Normal,120000,6400000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,No,Yes,Normal,120000,6600000
Kia_Rio,2010,Manual,No,Yes,Yes,Yes,Yes,Yes,Normal,130000,5700000
Kia_Rio,2010,Manual,Yes,Yes,No,Yes,Yes,Yes,Normal,130000,5700000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,No,Yes,Normal,130000,5900000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,No,Yes,Normal,140000,6500000
Kia_Rio,2010,Auto,No,Yes,Yes,No,No,Yes,Normal,140000,6200000
Kia_Rio,2010,Auto,No,No,Yes,Yes,Yes,No,Normal,140000,5900000
Kia_Rio,2010,Auto,Yes,No,Yes,No,No,Yes,Normal,140000,6200000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Bad,106000,6200000
Kia_Rio,2010,Manual,No,No,No,No,No,No,Bad,140000,4200000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Bad,169000,5300000
Kia_Rio,2010,Auto,No,No,No,No,No,No,Bad,147000,4900000
Kia_Rio,2010,Auto,No,No,No,No,No,No,Bad,155000,4700000
Kia_Rio,2010,Auto,No,Yes,Yes,Yes,Yes,Yes,Normal,160000,6200000
Kia_Rio,2010,Auto,Yes,No,Yes,Yes,Yes,Yes,Normal,160000,6200000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,Yes,Yes,Normal,152000,6200000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,Yes,Yes,Normal,155000,6400000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,No,Yes,Normal,165000,6400000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,No,Normal,170000,6300000
Kia_Rio,2010,Manual,No,Yes,Yes,Yes,Yes,Yes,Normal,154000,5500000
Kia_Rio,2010,Manual,Yes,No,Yes,Yes,Yes,Yes,Normal,159000,5500000
Kia_Rio,2010,Manual,Yes,Yes,No,Yes,Yes,Yes,Normal,163000,5500000
Kia_Rio,2010,Manual,Yes,Yes,Yes,No,Yes,Yes,Normal,172000,5700000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,No,Yes,Normal,175000,5700000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,No,Normal,180000,5600000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,No,Yes,Normal,33000,6700000
Kia_Rio,2010,Auto,Yes,Yes,No,No,No,Yes,Normal,55000,6400000
Kia_Rio,2010,Auto,No,Yes,Yes,No,No,Yes,Normal,70000,6400000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,No,No,Normal,62000,6500000
Kia_Rio,2010,Auto,No,No,Yes,Yes,Yes,No,Normal,74000,6100000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,No,No,Normal,80000,6300000
Kia_Rio,2010,Auto,Yes,No,Yes,No,No,Yes,Normal,90000,6400000
Kia_Rio,2010,Auto,No,Yes,Yes,Yes,Yes,Yes,Bad,160000,5700000
Kia_Rio,2010,Auto,Yes,No,Yes,Yes,Yes,Yes,Bad,160000,5700000
Kia_Rio,2010,Auto,Yes,Yes,No,Yes,Yes,Yes,Bad,152000,5700000
Kia_Rio,2010,Auto,Yes,Yes,Yes,No,Yes,Yes,Bad,155000,5900000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,No,Yes,Bad,165000,5900000
Kia_Rio,2010,Auto,Yes,Yes,Yes,Yes,Yes,No,Bad,170000,5800000
Kia_Rio,2010,Manual,No,Yes,Yes,Yes,Yes,Yes,Bad,154000,5000000
Kia_Rio,2010,Manual,Yes,No,Yes,Yes,Yes,Yes,Bad,159000,5000000
Kia_Rio,2010,Manual,Yes,Yes,No,Yes,Yes,Yes,Bad,163000,5000000
Kia_Rio,2010,Manual,Yes,Yes,Yes,No,Yes,Yes,Bad,172000,5200000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,No,Yes,Bad,175000,5200000
Kia_Rio,2010,Manual,Yes,Yes,Yes,Yes,Yes,No,Bad,180000,5100000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,81000,6500000
Kia_Rio,2009,Manual,No,No,No,No,No,No,Good,81000,4500000
Kia_Rio,2009,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,81000,5800000
Kia_Rio,2009,Auto,Yes,Yes,Yes,No,No,Yes,Good,81000,6300000
Kia_Rio,2009,Auto,Yes,Yes,No,No,No,Yes,Good,81000,6000000
Kia_Rio,2009,Auto,Yes,Yes,Yes,No,No,Yes,Normal,81000,5800000
Kia_Rio,2009,Auto,Yes,Yes,No,No,No,Yes,Normal,81000,5500000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,39000,6500000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,89000,6500000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,91000,6500000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,55000,6500000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,48000,6500000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,77000,6500000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,108000,6300000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,111000,6300000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,119000,6300000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,129000,6300000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,133000,6300000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,144000,6300000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,148000,6300000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,151000,6100000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,156000,6100000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,161000,6100000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,167000,6100000
Kia_Rio,2009,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,175000,6100000
Kia_Rio,2009,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,89000,5800000
Kia_Rio,2009,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,55000,5800000
Kia_Rio,2009,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,77000,5800000
Kia_Rio,2009,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,108000,5600000
Kia_Rio,2009,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,119000,5600000
Kia_Rio,2009,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,133000,5600000
Kia_Rio,2009,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,148000,5600000
